NAME,DE,EN,FR,IT
bearbeitungscode_0,Preisreihe beenden,Discontinue the price series,Fin de la série de prix,Interrompere la serie di prezzo
bearbeitungscode_1,Direkter Ersatz,Direct substitution,Substitution directe,Sostituzione diretta
bearbeitungscode_101,Aktuell nicht an Lager,Out of stock,Momentanément indisponible,Momentaneamente non disponibile
bearbeitungscode_2,Neue Preismeldung mit Vorperiodenpreis,New item with price of previous period,Nouvel article avec prix de la période précédente,Nuovo articolo con prezzo del periodo precedente
bearbeitungscode_3,Neue Preismeldung,New item,Nouvel article,Nuovo articolo
bearbeitungscode_44,Saisonal fehlend,Seasonal out of stock,Indisponibilité saisonière,Indisponibilità stagionale
bearbeitungscode_7,Verkettung,Chaining,Chaînage,Concatenamento
bearbeitungscode_99,Standardabbuchung,Standard entry,Saisie standard,Entrata standard
btn_cancel,Abbrechen,Cancel,Annuler,Annullare
btn_close,Schliessen,Close,Fermer,Chiudere
btn_comment,Kommentieren,Comment,Commenter,Commentare
btn_continue-editing,Weiterbearbeiten,Continue editing,Continuer la saisie,Continuare modifica
btn_delete-local-entries,Lokale Daten von Gerät löschen,Delete local entries from device,Effacer les données locales de l'appareil,Cancellare dati locali dall'apparecchio
btn_edit,Bearbeiten,Edit,Editer,Modificare
btn_edit-comment,Bearbeiten/kommentieren,Edit/comment,Editer/Commenter,Modificare/Commentare
btn_erledigt,Erledigt,Done,Terminer,Eseguito
btn_leeren,Leeren,Clear,Effacer,Svuotare
btn_login,Anmelden,Login,Login,Login
btn_no,Nein,No,Non,No
btn_ok,OK,OK,OK,OK
btn_order-save,Reihenfolge übernehmen,Save order,Enregistrer le tri,Salvare l'ordine
btn_pm-delete,Preismeldung löschen,Delete price data,Supprimer l'article,Cancellare articolo
btn_pm-reset,Preismeldung zurücksetzen,Reset price data,Réinitialiser l'article,Azzerare articolo
btn_reset-selection,Auswahl aufheben,Reset selection,Annuler la sélection,Deselezionare
btn_save,Speichern,Save,Engregistrer,Salvare
btn_synchronize,Synchronisieren,Synchronize,Synchroniser,Sincronizzare
btn_upload-now,Jetzt hochladen,Upload now,Transférer,Caricare ora
btn_verwerfen,Verwerfen,Discard,Annuler,Annullare le modifiche
btn_warenkorb_collapse_all,Alles zuklappen,Collapse all,Réduire le tout,Ridurre tutto
btn_yes,Ja,Yes,Oui,Sì
btn_zuruecksetzen,Zurücksetzen,Reset,Réinitialiser,Resettare
cockpit.detail.synchronisiert,synchronisiert:,synchronized:,synchronisé :,sincronizzato:
cockpit.list.anzahl_erfasste,"Preise auf Tablet: erfasst, aber nicht hochgeladen",Prices on device: recorded but not yet uploaded,"Prix sur tablette : relevés, mais pas encore livrés à la DB","Prezzi su tablet: registrato, ma non caricato"
cockpit.list.anzahl_heruntergeladene,Preise auf Tablet: erhalten / neu,Prices on device: received / new,Prix sur tablette : reçus / neufs,Prezzi su tablet:  ricevuti / nuovi
cockpit.list.anzahl_hochgeladene,Preise von Tablet hochgeladen,Prices uploaded from device,Prix sur tablette : livrés (OK),Prezzi caricati da tablet
cockpit.list.anzahl_nicht_erfasste,Preise auf Tablet: zu erfassen,Prices on device: to survey,Prix sur tablette: à relever,Prezzi su tablet: da rilevare
cockpit.list.label_nicht_zugeordnet,Nicht zugeordnet,not assigned,non attribué,non assegnato
cockpit.list.label_zugeordnet,zugeordnet,assigned,attribué,assegnato
cockpit.status.anzahl_ohne,{{ count }} Preismeldungen ohne Prüfstatus,{{ count }} Prices without check status,{{ count }} Prix sans statut de validation,{{ count }} Prezzi senza stato di validazione
cockpit.status.kein_stichdatum,Kein Stichdatum,No reference date,Pas de date de référence,Nessuna data di riferimento
